ds,yhat,yhat_lower,yhat_upper
2021-01-01,204.9072875,179.9026266238159,230.48210667890757
2021-01-02,216.48292688888893,188.4994910024401,243.0459089232535
2021-01-03,228.05856628058908,199.54448978408203,254.86553030855364
2021-01-04,239.63420567282574,214.18887130724073,264.66704727319535
2021-01-05,251.20984506660162,223.88971287828423,278.2040273929268
2021-01-06,262.7854844624286,237.0370726438217,289.2180955306682
2021-01-07,274.36112385760515,247.1117156829899,300.8494563775568
2021-01-08,285.936763253323,259.9411749461669,316.25031943152675
2021-01-09,297.5124026460254,270.1882345723494,323.7074524511816
2021-01-10,309.08804203872785,281.45277358843833,335.90536440814975
2021-01-11,320.66368143143035,294.2222292862931,347.8072655367022
2021-01-12,332.2393208241328,307.00084573636633,359.24902151793884
2021-01-13,343.8149602168352,316.9262376090911,372.0177349141658
2021-01-14,355.3905996095377,328.24551653700985,384.71143260416545
2021-01-15,366.96623900224006,340.87300203931295,392.6144640117797
2021-01-16,378.5418783949425,350.6085759853831,404.8556538853941
2021-01-17,390.11751778764494,362.7665488684717,416.07059799605406
2021-01-18,401.6931571803473,372.8321312355539,427.11286506463864
2021-01-19,413.2687965730499,384.99483156300687,441.2313629043935
2021-01-20,424.84443596575227,397.4322506873138,454.0693717783435
2021-01-21,436.42007535845477,409.601276106738,464.1446072056856
2021-01-22,447.99571475115715,421.38763965541864,476.9654054189267
2021-01-23,459.5713541438596,432.4391182670457,485.9669586482242
2021-01-24,471.146993536562,443.5752048744898,499.1901776887804
2021-01-25,482.7226329292644,455.4937647414443,510.74160154232504
2021-01-26,494.29827232196686,465.9400815518161,521.8973660107325
2021-01-27,505.8739117146693,477.9657664793308,532.2995176814504
2021-01-28,517.4495511073718,490.66651701496346,544.6098015842485
2021-01-29,529.0251905000742,500.8810814252955,557.402780064946
2021-01-30,540.6008298927767,514.609640251648,568.3913864608513
2021-01-31,552.176469285479,524.1821904402237,579.7195239196204
2021-02-01,563.7521086781815,538.1659485478275,588.7684224712312
2021-02-02,575.3277480708839,548.3906921501189,601.8750675209299
2021-02-03,586.9033874635863,557.7981598303762,613.4744824271374
2021-02-04,598.4790268562888,571.9752103533307,624.586970241411
2021-02-05,610.0546662489912,583.3180995448596,636.9992214929977
2021-02-06,621.6303056416937,595.8207205200065,650.0050697382148
2021-02-07,633.2059450343961,606.8583365016445,661.6092453954631
2021-02-08,644.7815844270986,617.8263564250636,671.0289773862299
2021-02-09,656.357223819801,629.793780405978,684.4915237459259
2021-02-10,667.9328632125034,642.0326659675011,695.623823853481
2021-02-11,679.5085026052059,652.2772905357114,705.5843029347418
2021-02-12,691.0841419979082,664.5895616691826,718.2528556831413
2021-02-13,702.6597813906106,674.0327740871318,731.0075547530734
2021-02-14,714.2354207833133,687.1613919302066,742.2350605519109
2021-02-15,725.8110601760156,699.2903967719358,755.3381270398602
2021-02-16,737.3866995687181,709.8307689154965,763.1480067157768
2021-02-17,748.9623389614204,721.7849358680252,773.7600107428707
2021-02-18,760.5379783541229,734.1929880279054,786.7610213366229
2021-02-19,772.1136177468255,745.4052630858592,800.199050909618
2021-02-20,783.6892571395279,755.5015455379969,809.3557186641689
2021-02-21,795.2648965322303,769.0171265668824,820.7217407153269
2021-02-22,806.8405359249326,780.6729730080481,833.9099673404766
2021-02-23,818.4161753176352,791.9015101195619,845.3651238511142
2021-02-24,829.9918147103376,802.8880305041627,857.9343035993688
2021-02-25,841.5674541030401,813.5618049904226,868.1189794126318
2021-02-26,853.1430934957424,824.137145712526,884.5147476377447
2021-02-27,864.7187328884448,836.3395205068657,891.2420467909367
2021-02-28,876.2943722811475,849.3011830536683,903.2478085339568
2021-03-01,887.8700116738498,859.2509059649758,916.8477025294827
2021-03-02,899.4456510665523,872.7319081468848,927.2774474211815
2021-03-03,911.0212904592546,886.5190325046597,937.8703268393645
2021-03-04,922.5969298519569,893.2765725677901,947.7579877486254
2021-03-05,934.1725692446594,906.763066182475,961.4310143450878
2021-03-06,945.7482086373617,919.9295428583085,972.0387094072222
2021-03-07,957.3238480300644,930.5334991468322,983.9056276424582
2021-03-08,968.8994874227668,941.252153824618,994.8632498253986
2021-03-09,980.4751268154691,953.1066861192045,1008.1590041237032
2021-03-10,992.0507662081716,963.88682938392,1018.7614000992627
2021-03-11,1003.6264056008743,976.9424191396002,1031.6094033848358
2021-03-12,1015.2020449935766,987.204826399931,1041.9750075391412
2021-03-13,1026.777684386279,999.7196520866969,1053.2726791894027
2021-03-14,1038.3533237789813,1009.2554101148961,1065.9572912189321
2021-03-15,1049.9289631716838,1020.3028785121504,1075.6613721245415
2021-03-16,1061.504602564386,1034.6426695323678,1088.5934508309454
2021-03-17,1073.0802419570887,1045.353544648236,1101.025123363534
2021-03-18,1084.6558813497911,1057.1718972223618,1111.8449093298925
2021-03-19,1096.2315207424936,1069.4288984407563,1123.7938013689961
2021-03-20,1107.807160135196,1080.4639963461016,1134.6961399094457
2021-03-21,1119.3827995278987,1092.7906628387584,1147.2287733141661
2021-03-22,1130.9584389206009,1103.1553815833838,1158.8549064519354
2021-03-23,1142.5340783133033,1115.9886101352936,1169.285374203137
2021-03-24,1154.1097177060058,1127.5325388179924,1181.2394830068686
2021-03-25,1165.6853570987082,1138.4687608965721,1191.2414195966255
2021-03-26,1177.2609964914107,1150.1024034375582,1204.5641044382394
2021-03-27,1188.836635884113,1160.0586893553036,1215.7182556200348
2021-03-28,1200.4122752768155,1174.4930748423224,1226.1647920427881
2021-03-29,1211.987914669518,1184.424812923646,1240.1592238668668
2021-03-30,1223.5635540622206,1196.970368677466,1250.9896946381598
2021-03-31,1235.1391934549229,1207.3438774397234,1263.6121696520822
2021-04-01,1246.7148328476253,1219.2975845997266,1274.365558462727
2021-04-02,1258.2904722403277,1231.7662576019584,1287.8763974397166
2021-04-03,1269.8661116330302,1243.6093650470173,1297.2474148882145
2021-04-04,1281.4417510257326,1253.529110326304,1309.1030413855224
2021-04-05,1293.017390418435,1264.0466844376494,1318.703854640149
2021-04-06,1304.5930298111375,1276.8196734075893,1332.0087231355774
2021-04-07,1316.16866920384,1288.2659614069014,1342.7218226825075
2021-04-08,1327.7443085965426,1300.0716180115514,1354.0847844332536
2021-04-09,1339.3199479892448,1311.5059303477217,1366.7492138784332
2021-04-10,1350.8955873819473,1323.2768823687607,1376.3052707187373
